# n_thermal_neutrons=50000
event_id,fission_time_ns,n_prompt_neutrons,n_prompt_gammas,fragment_A_PDG,fragment_B_PDG,n_total_chain_tracks,n_chain_neutrons,n_chain_gammas,n_chain_betas,n_chain_alphas,n_chain_ions,n_chain_other
1130,45725.525196,4,7,1000320860,1000601450,3313,5,15,3278,,11,4
1267,45725.412169,3,5,1000340880,1000581440,1050,4,11,1019,,12,4
1787,45725.414460,3,12,1000380920,1000541400,3559,4,19,3515,,16,5
3026,45725.335488,4,5,1000541400,1000380910,2306,5,13,2264,,18,6
3120,45725.433172,2,13,1000561440,1000360890,3377,3,22,3332,,15,5
4577,45725.327850,4,9,1000521330,1000400980,3077,5,14,3041,,12,5
4726,45725.357878,5,8,1000360890,1000561410,181,6,15,139,,15,6
5450,45725.418299,2,14,1000601510,1000320820,449,3,22,407,,13,4
6048,45725.364268,3,11,1000591530,1000330790,4651,4,13,4617,,12,5
6169,45725.366817,3,9,1000411010,1000511310,215,4,16,171,,18,6
6502,45725.494160,3,9,1000370900,1000551420,3067,4,15,3032,,12,4
6971,45725.448390,3,12,1000370920,1000551400,2923,4,17,2882,,14,6
7029,45725.531008,6,9,1000521330,1000400960,2152,7,13,2121,,8,3
7188,45725.326692,4,7,1000360870,1000561440,1322,5,16,1284,,14,3
7283,45725.433018,3,9,1000360910,1000561410,1258,4,19,1209,,19,7
8602,45725.460908,4,7,1000571440,1000350870,2084,5,11,2056,,9,3
9563,45725.459986,2,9,1000551410,1000370920,2455,3,14,2417,,14,7
9658,45725.390388,2,12,1000521360,1000400970,3226,3,21,3184,,14,4
9807,45725.512482,4,9,1000390980,1000531330,2809,5,16,2771,,12,5
9924,45725.540084,3,10,1000421020,1000501300,2901,4,16,2865,,12,4
11094,45725.340338,4,9,1000390970,1000531340,112,5,14,78,,11,4
11151,45725.489353,2,2,1000380960,1000541370,2567,3,3,2552,,6,3
12961,45725.415047,2,11,1000571450,1000350880,3605,3,20,3558,,18,6
13162,45725.515942,0,2,1000350870,1000571480,3645,1,9,3616,,14,5
13525,45725.492594,2,9,1000390990,1000531340,2945,3,18,2901,,18,5
